u,v,weight,transport_type,risk
40,51,92,rail,4
45,22,120,air,3
47,39,64,road,5
63,20,73,air,5
14,1,125,rail,4
48,44,12,air,4
66,38,98,road,1
11,32,93,rail,1
3,45,57,rail,2
34,29,109,road,2
7,66,70,rail,5
40,34,84,air,3
43,55,51,air,2
6,45,135,rail,2
11,23,22,rail,1
25,9,4,road,4
63,67,128,air,5
7,43,105,road,4
61,7,8,rail,1
43,14,60,rail,2
7,9,78,rail,1
17,64,118,air,2
44,61,56,road,1
39,7,1,rail,2
27,3,128,air,1
14,19,105,rail,4
25,43,71,air,3
36,31,44,rail,1
4,42,11,road,2
54,2,55,road,5
36,54,56,air,3
70,25,34,rail,2
33,53,116,road,3
65,45,10,air,2
20,1,14,rail,5
39,44,79,air,1
13,46,84,road,4
58,46,16,rail,1
56,55,5,rail,2
1,18,59,rail,4
25,8,100,air,5
39,31,108,rail,5
3,64,142,road,2
60,31,133,air,4
34,12,42,road,1
57,32,54,rail,3
67,48,104,road,2
9,64,105,rail,2
44,60,95,rail,5
32,6,40,rail,1
17,54,59,air,2
58,34,41,rail,4
17,33,90,air,3
55,66,77,air,3
44,15,58,air,4
37,39,138,rail,5
24,29,64,rail,3
39,63,104,rail,4
70,22,82,air,1
16,7,9,rail,5
52,69,46,road,4
59,41,58,road,2
18,22,36,rail,2
24,12,4,air,1
42,25,50,rail,4
43,47,52,air,1
20,56,56,air,1
12,62,135,air,1
62,34,70,rail,5
3,70,15,rail,4
43,10,15,road,2
16,32,24,road,1
38,16,58,air,1
22,33,27,rail,3
34,63,85,road,4
18,29,117,air,2
51,45,79,road,4
45,66,149,rail,1
56,58,62,air,4
16,54,87,road,2
52,13,145,air,4
5,69,37,rail,4
50,26,105,rail,1
66,55,103,road,4
54,23,15,road,1
12,8,148,air,2
6,22,118,air,1
59,36,100,road,4
39,66,110,air,5
58,33,65,air,4
37,40,76,rail,1
24,27,56,rail,3
19,62,53,air,3
19,1,97,air,5
27,55,42,air,1
57,55,92,road,4
60,14,127,road,1
6,66,44,rail,4
27,8,50,road,3
31,24,12,rail,5
67,39,113,air,5
50,63,1,rail,1
6,12,103,rail,2
45,58,73,air,3
63,62,66,rail,4
4,51,138,rail,5
38,39,129,air,2
34,17,105,air,4
70,34,39,road,1
11,69,51,rail,2
47,34,10,road,4
2,64,57,air,1
16,9,148,rail,1
14,20,13,road,1
32,56,138,rail,3
3,67,69,rail,5
52,66,115,air,4
28,16,14,road,4
51,1,84,air,2
38,68,76,rail,3
27,55,125,air,5
53,50,13,rail,4
46,48,18,air,3
53,50,45,rail,1
55,53,43,air,3
33,60,144,air,5
31,15,86,road,1
39,38,63,road,2
46,64,31,rail,5
13,22,130,road,5
56,25,2,road,1
57,13,134,air,5
23,51,148,road,5
42,1,66,road,4
47,46,104,rail,3
61,31,90,road,5
53,12,41,rail,2
3,50,90,road,1
44,29,23,rail,4
34,30,138,rail,3
11,57,125,rail,1
31,65,108,air,5
17,18,111,road,1
14,26,98,air,1
10,25,124,rail,2
28,24,140,rail,1
59,42,73,air,3
8,50,91,road,3
46,1,132,rail,3
0,31,60,air,5
26,58,81,rail,2
16,26,31,air,1
60,16,88,road,5
66,6,131,road,3
37,6,126,rail,2
38,12,111,rail,1
65,31,86,rail,1
59,6,89,air,2
69,52,37,air,4
64,60,59,road,4
66,62,133,rail,1
16,65,100,road,1
61,10,144,rail,2
19,56,78,air,1
14,19,88,air,1
65,2,69,air,2
4,66,5,rail,1
19,58,147,rail,1
61,49,30,road,5
56,54,98,air,4
13,26,75,road,4
22,26,147,air,1
1,17,136,rail,3
8,19,137,air,4
20,57,128,rail,4
59,58,139,road,4
19,56,146,air,5
69,10,128,rail,4
25,54,119,rail,3
2,30,102,rail,3
13,29,84,road,2
56,2,96,air,1
30,69,129,air,5
36,34,61,road,4
33,16,70,rail,2
17,46,22,rail,4
28,65,103,road,4
66,58,112,air,5
49,65,84,rail,2
44,27,149,road,5
35,40,111,air,2
52,45,69,rail,3
60,42,144,air,3
68,61,10,air,4
67,15,54,road,5
47,41,66,rail,2
2,9,149,air,2
5,25,140,rail,4
39,35,143,road,2
65,39,91,air,1
51,3,48,rail,4
37,12,3,road,4
13,19,26,road,3
32,55,42,rail,5
34,29,8,air,1
19,51,82,rail,2
35,65,75,air,5
15,2,121,air,1
6,16,69,road,2
26,13,57,air,3
19,49,42,air,2
21,46,27,air,2
18,40,96,rail,2
42,22,118,road,4
38,26,76,air,5
13,56,135,road,4
1,5,40,road,3
17,34,55,air,2
23,48,123,air,2
10,53,120,rail,3
58,45,38,rail,3
11,67,26,rail,3
30,63,119,road,4
35,26,14,road,4
32,43,67,road,2
5,51,43,rail,1
11,14,42,air,2
22,47,17,rail,3
13,46,44,air,4
23,66,63,rail,4
22,25,134,air,5
1,19,44,road,5
48,42,45,rail,3
12,7,112,air,2
40,1,139,air,4
20,68,127,road,3
15,51,25,rail,3
27,65,17,road,1
43,5,131,air,1
39,27,20,road,5
8,56,132,rail,5
24,16,22,air,3
45,32,84,rail,4
37,13,22,rail,5
13,57,124,road,4
67,0,146,air,4
49,3,142,rail,2
58,69,118,road,3
62,28,63,rail,2
53,41,131,air,5
69,53,77,road,1
70,42,93,road,5
44,54,144,air,3
24,31,53,rail,2
1,2,27,air,4
57,35,145,road,3
33,5,34,air,2
68,33,97,road,3
12,24,125,rail,4
24,33,52,road,2
54,46,29,air,5
23,69,97,rail,1
35,31,142,air,4
26,66,98,rail,1
68,30,35,air,5
29,36,113,rail,2
50,69,56,air,3
21,54,140,rail,4
30,40,13,rail,3
46,69,4,air,1
52,6,21,rail,2
68,24,9,air,3
57,34,49,rail,4
70,62,147,road,5
31,19,123,air,2
35,13,112,air,2
16,62,37,rail,3
22,29,53,air,2
57,42,48,road,5
7,5,128,air,5
57,18,113,rail,1
65,54,126,rail,3
5,15,134,road,4
6,31,35,air,5
41,18,64,road,2
3,67,9,rail,4
37,27,87,rail,1
53,2,56,road,1
23,40,70,rail,5
15,27,43,air,4
4,69,124,road,4
37,59,114,air,3
22,51,62,road,3
7,8,82,road,5
50,70,122,air,5
5,51,64,rail,3
23,8,80,rail,4
5,41,97,road,3
5,37,127,air,2
66,70,9,road,1
18,38,126,air,5
24,66,64,road,3
33,55,131,road,2
31,14,135,air,2
11,41,87,road,3
4,69,2,rail,4
17,69,40,rail,5
23,37,143,road,2
24,4,146,road,4
5,30,93,road,2
5,56,39,road,2
22,64,82,rail,1
54,51,130,road,4
49,21,62,air,4
36,27,58,air,5
40,20,93,air,4
23,49,96,rail,3
6,15,131,road,3
36,20,130,road,1
14,26,56,air,4
35,11,52,rail,2
26,64,127,road,2
3,40,127,rail,5
14,29,148,rail,1
48,18,117,road,5
15,0,84,rail,3
7,48,139,rail,5
33,60,60,road,5
2,57,78,rail,5
19,10,131,road,5
40,18,69,air,5
25,17,20,road,1
1,24,110,road,1
43,24,48,road,5
26,22,93,rail,2
53,43,105,air,3
18,59,99,air,1
69,62,1,road,5
12,1,105,air,3
30,43,121,air,3
9,4,105,road,5
2,39,144,rail,1
17,21,48,road,1
43,59,6,road,3
13,57,90,air,4
34,64,87,rail,4
60,9,12,air,3
35,63,68,road,1
68,34,85,air,1
40,50,62,road,4
1,33,6,road,5
4,47,4,rail,4
43,28,28,air,2
5,14,20,rail,4
34,10,32,road,1
46,39,33,air,4
11,66,84,rail,1
50,32,93,air,5
8,44,90,road,4
68,29,47,road,2
22,39,98,air,4
19,70,65,road,3
67,26,54,rail,2
48,21,58,rail,2
0,69,139,rail,2
69,47,148,road,1
39,16,133,air,3
56,31,84,rail,1
0,31,17,air,3
26,62,126,air,1
33,0,92,road,4
46,55,102,air,1
9,52,29,road,5
39,59,49,air,1
18,10,127,air,2
42,38,26,road,5
58,17,92,air,5
10,49,109,rail,5
47,67,73,rail,2
1,12,6,road,2
45,4,135,road,5
59,35,21,air,5
29,53,104,rail,2
20,3,4,air,1
3,32,98,road,1
70,18,59,road,1
1,36,31,rail,2
16,36,8,road,2
66,58,9,air,3
18,55,28,road,3
26,18,14,road,2
51,1,122,air,4
16,58,127,rail,4
2,4,51,rail,4
42,60,146,road,2
22,20,131,air,3
62,47,130,road,5
62,61,122,air,4
67,40,15,road,5
70,2,66,air,2
68,12,36,road,5
47,67,109,air,2
16,29,75,air,5
18,28,96,road,3
66,12,150,air,3
14,36,119,rail,4
67,36,62,rail,4
50,18,69,air,2
58,8,82,road,5
23,68,11,road,4
25,36,34,rail,2
27,16,48,rail,4
0,21,81,air,1
52,5,18,rail,5
25,44,26,rail,1
54,32,2,air,1
18,37,27,road,5
58,41,16,rail,5
59,15,116,road,1
58,0,116,rail,5
43,63,133,rail,4
59,24,144,road,3
63,10,131,road,2
70,64,103,air,2
2,67,75,rail,4
25,39,65,air,1
49,52,98,air,2
20,24,39,rail,4
14,19,57,road,5
21,24,58,air,4
46,34,13,air,4
26,14,27,air,5
55,43,105,road,3
61,10,98,road,5
28,27,59,road,4
8,28,48,air,2
56,13,77,rail,4
18,27,107,rail,3
30,46,112,road,5
21,28,65,air,4
55,30,112,air,3
34,0,4,air,4
49,6,11,air,1
32,16,147,road,4
56,32,96,rail,2
62,23,12,air,5
35,26,72,air,2
39,53,68,rail,5
41,54,17,road,1
9,17,44,road,4
66,34,37,air,4
47,39,87,road,5
51,29,122,road,3
60,33,86,air,1
52,16,122,air,1
52,50,132,air,2
42,0,92,air,4
29,17,30,air,5
0,33,96,air,3
5,43,25,road,1
54,2,39,road,3
27,67,124,road,5
16,49,65,air,2
68,70,41,road,5
36,23,144,road,2
50,40,39,air,5
20,11,149,road,3
20,23,46,road,4
21,22,106,road,4
16,18,68,rail,5
30,50,3,road,2
5,61,62,rail,1
70,47,25,air,5
50,3,122,rail,2
28,65,52,air,5
14,19,1,road,2
57,65,110,rail,3
28,47,52,road,3
18,29,87,rail,5
41,66,87,rail,3
64,63,30,air,3
49,10,27,rail,5
28,56,90,rail,1
17,69,19,air,2
42,41,24,air,3
3,8,38,air,5
29,60,2,road,2
64,42,15,air,4
69,33,76,rail,3
31,18,32,air,3
44,28,124,air,1
27,48,100,road,2
9,60,33,air,4
21,40,130,rail,4
69,30,28,air,4
17,63,141,rail,1
63,21,57,air,1
22,62,12,road,1
53,33,11,road,3
44,70,97,rail,4
66,49,86,road,3
5,29,37,air,3
22,45,133,road,2
4,5,127,rail,2
1,67,29,air,5
22,21,22,road,1
38,19,82,road,5
50,60,12,road,1
33,63,84,road,5
35,50,77,rail,4
24,67,137,road,1
52,27,139,rail,2
67,2,98,road,2
25,60,7,road,1
40,21,81,road,3
41,1,102,rail,5
62,23,125,road,3
46,38,19,air,2
35,28,3,rail,5
33,25,119,rail,4
15,24,75,air,5
26,38,4,road,1
12,60,116,air,2
28,51,93,air,2
32,27,24,rail,2
34,9,145,rail,1
66,53,76,air,4
31,37,13,rail,1
29,53,112,road,2
65,60,94,rail,5
54,51,130,road,2
33,42,39,road,3
22,2,38,air,5
32,25,39,air,4
68,12,86,rail,2
43,35,57,air,1
34,47,4,rail,5
1,14,43,road,3
28,61,34,road,4
24,32,39,air,2
54,62,66,rail,3
55,52,118,road,3
50,70,17,road,4
22,14,69,road,1
20,65,43,rail,1
63,70,55,air,5
7,42,43,rail,4
27,13,66,road,1
36,25,63,rail,5
9,63,9,road,4
39,4,92,rail,4
9,34,67,road,5
41,29,116,rail,1
67,30,120,road,1
25,10,146,air,4
65,0,60,rail,5
27,57,115,road,1
36,8,10,road,3
20,49,136,rail,1
69,24,101,road,1
45,56,107,rail,3
32,43,71,rail,5
27,59,31,road,2
12,48,6,rail,1
6,69,78,road,2
20,39,13,air,1
56,61,136,road,2
63,6,122,rail,2
22,25,135,air,4
61,28,28,rail,1
60,54,25,road,3
35,23,67,rail,3
28,2,85,road,1
20,28,61,air,2
16,29,16,road,1
18,56,73,air,4
15,4,5,road,2
56,55,68,air,4
42,11,121,road,2
21,4,23,road,3
17,19,107,rail,1
7,8,59,rail,3
21,11,25,rail,1
23,40,31,road,4
45,2,93,rail,5
45,18,24,road,3
23,68,131,rail,1
21,2,21,air,3
51,10,112,rail,3
39,56,129,rail,5
60,49,40,air,2
32,69,81,road,4
23,38,79,air,4
40,23,8,rail,1
30,3,47,rail,2
9,25,119,road,4
12,60,82,air,5
64,36,27,air,2
15,49,53,road,5
46,36,3,rail,2
0,21,10,rail,1
40,9,125,road,3
46,25,42,air,2
66,67,93,air,1
32,33,9,rail,4
48,31,93,road,4
42,62,47,rail,1
69,17,129,air,4
27,0,131,air,4
21,50,124,air,4
0,10,117,rail,2
53,45,16,air,4
2,54,143,road,5
42,31,112,road,4
5,42,108,road,1
53,63,94,road,2
17,28,15,road,1
27,12,85,rail,3
16,26,114,air,4
47,61,18,rail,2
12,59,80,air,4
57,14,100,road,4
63,64,1,rail,1
0,59,67,road,3
17,63,3,road,1
35,11,62,rail,3
17,46,29,air,4
41,18,45,rail,5
12,53,105,road,3
4,43,71,rail,4
68,43,58,air,1
39,25,140,air,3
4,18,46,air,4
12,45,89,rail,4
41,22,140,rail,3
62,22,90,road,4
35,13,11,rail,3
25,59,87,rail,3
10,38,12,air,2
1,38,136,air,4
16,44,96,rail,5
16,25,90,rail,1
49,69,138,rail,1
52,17,148,rail,5
23,15,46,air,2
10,32,83,road,3
51,34,5,air,1
32,9,70,road,3
35,54,76,road,5
35,64,66,air,4
32,29,132,rail,3
69,49,49,rail,1
58,28,144,rail,5
18,27,24,air,1
16,47,57,air,3
37,18,29,rail,5
19,55,91,air,3
55,28,25,rail,2
38,31,78,air,4
42,41,131,air,2
39,15,29,air,1
39,33,1,air,1
59,34,136,air,5
3,36,29,road,3
18,59,126,rail,4
19,36,120,air,5
0,47,107,rail,3
49,33,52,rail,3
5,28,44,air,2
23,56,48,rail,5
10,15,94,air,5
20,57,72,air,1
27,35,83,air,1
1,70,34,air,2
0,58,140,rail,1
45,17,117,road,5
44,5,125,road,4
19,23,38,road,1
22,44,61,road,1
61,2,20,air,1
58,24,94,air,4
56,52,103,road,1
2,26,18,rail,5
51,56,69,rail,4
6,49,47,air,5
5,44,130,road,3
10,4,17,air,2
67,50,81,air,2
51,6,142,road,4
3,59,122,air,4
36,69,33,rail,5
9,64,77,air,2
36,3,27,rail,2
11,1,40,road,5
44,65,52,road,1
33,41,78,rail,2
5,39,11,rail,5
34,43,9,air,5
60,62,92,rail,1
36,33,135,air,2
24,46,34,rail,4
45,5,2,air,3
57,41,115,air,3
26,57,118,air,3
40,65,115,road,1
5,42,87,road,2
20,49,124,air,3
1,27,17,road,3
51,32,48,rail,2
23,16,28,air,1
53,57,52,rail,5
36,48,45,road,3
45,29,142,rail,4
56,66,26,rail,5
41,51,70,air,1
55,46,42,road,3
4,56,95,rail,1
2,62,111,road,5
41,64,60,air,3
49,9,19,air,1
37,24,21,rail,1
70,4,127,rail,4
29,40,68,air,3
29,41,4,rail,4
36,26,143,air,1
4,21,87,road,5
21,16,21,road,2
10,23,70,rail,2
39,64,132,rail,2
47,54,11,rail,3
38,32,75,road,3
62,57,116,road,1
58,8,55,air,3
9,38,94,rail,4
20,16,135,air,4
44,47,2,road,5
49,8,119,rail,1
70,3,57,road,4
68,24,134,road,5
11,50,39,road,1
63,60,128,rail,3
66,53,97,road,5
44,11,86,rail,1
65,39,68,road,5
20,3,105,rail,4
27,39,85,rail,2
38,45,51,road,2
25,43,28,rail,3
14,54,18,air,1
30,34,45,air,4
49,23,133,rail,3
70,63,127,rail,5
42,56,134,road,5
14,20,13,rail,4
52,25,138,road,4
58,41,108,road,5
4,48,136,rail,2
13,46,80,road,3
63,27,37,road,1
17,50,80,air,2
62,6,42,road,4
40,43,43,rail,3
36,20,61,rail,5
30,46,67,air,2
3,34,61,air,1
27,14,87,air,3
17,69,24,road,1
32,28,107,air,2
27,66,104,air,4
8,5,19,air,3
4,2,4,air,3
8,3,128,air,1
25,57,95,air,1
43,24,33,air,4
56,28,54,rail,4
52,57,133,air,5
5,34,49,rail,5
43,65,59,air,1
70,37,5,air,3
31,49,42,road,2
19,37,60,rail,5
26,33,125,air,4
46,54,138,air,5
48,1,148,rail,2
41,10,109,road,3
29,9,6,air,3
38,15,105,air,4
33,18,21,rail,2
28,37,56,road,3
66,25,11,air,2
57,56,123,rail,4
32,68,77,road,5
26,7,16,air,2
9,69,51,road,2
50,62,38,rail,5
48,33,108,rail,5
22,38,11,air,4
35,53,87,rail,4
53,69,47,air,3
44,18,132,road,1
35,31,91,rail,1
20,39,52,air,3
31,13,76,rail,5
53,45,28,air,4
7,9,52,air,5
31,19,77,road,3
5,9,64,rail,2
45,8,23,air,5
25,61,119,rail,1
31,20,73,air,4
12,70,123,rail,5
35,36,30,rail,2
48,35,117,road,2
47,39,66,road,5
46,5,35,rail,1
20,10,98,road,2
7,16,29,air,2
31,30,91,road,2
55,62,19,air,3
70,14,129,air,1
49,63,96,air,2
33,54,6,rail,5
43,7,48,road,4
65,38,106,air,4
64,15,102,air,4
28,62,83,air,4
44,13,25,road,2
30,31,144,road,2
30,23,66,air,1
5,22,19,rail,1
29,24,146,rail,2
43,5,2,air,2
9,12,70,road,1
56,29,137,rail,5
4,27,108,road,2
7,54,51,rail,2
25,0,116,road,2
46,20,97,road,2
20,34,20,air,4
48,26,94,rail,4
42,55,58,road,4
65,64,148,air,2
33,26,65,rail,4
20,39,17,road,5
40,8,67,air,3
15,50,87,road,3
63,49,133,road,2
33,48,6,air,3
4,33,95,road,1
59,39,93,rail,2
13,26,25,road,4
49,64,124,air,3
8,35,54,rail,4
1,6,30,rail,1
48,28,33,rail,1
36,56,74,road,4
58,4,26,air,5
49,45,16,air,1
60,33,105,air,2
8,16,149,air,5
47,25,3,air,5
54,34,96,air,5
33,37,34,air,4
40,9,5,air,4
52,50,111,rail,4
23,2,108,air,1
31,49,107,air,5
55,56,95,rail,5
32,13,140,rail,2
40,33,93,air,2
40,45,60,road,2
5,52,63,road,2
28,46,9,road,3
57,52,75,rail,4
1,47,113,rail,3
46,68,123,air,3
16,14,136,road,2
57,15,33,rail,4
14,28,128,road,2
5,39,46,air,3
69,70,144,rail,1
30,15,85,road,4
22,67,106,air,5
56,5,138,rail,1
0,24,108,road,1
51,45,119,air,2
35,4,127,road,2
55,27,63,road,4
60,22,50,rail,1
43,21,83,road,4
24,59,130,road,5
36,11,30,air,2
54,10,73,air,3
62,30,5,rail,3
29,69,123,road,5
51,38,91,air,5
16,62,50,rail,5
64,44,92,rail,3
43,40,69,air,3
23,63,104,air,1
65,48,85,road,5
19,10,32,rail,1
17,64,105,air,2
3,38,98,air,2
1,42,32,rail,2
20,50,49,rail,2
66,25,53,rail,3
61,53,118,rail,1
49,17,143,air,5
29,13,10,air,3
47,55,134,air,3
70,31,128,air,5
50,31,105,air,1
32,42,24,air,5
42,9,82,air,1
0,55,126,air,2
52,6,40,rail,5
54,16,68,air,5
66,22,112,air,5
48,24,136,rail,1
14,20,19,air,2
22,39,140,air,4
11,3,48,rail,3
27,30,127,rail,2
16,57,43,rail,3
69,10,20,air,1
11,62,43,rail,4
31,14,76,rail,4
30,3,83,air,1
32,12,141,air,4
60,14,100,air,1
50,6,74,air,2
32,16,127,road,2
38,6,109,road,5
40,11,1,road,2
65,11,60,rail,3
22,3,95,road,5
54,17,87,rail,1
16,63,122,road,3
42,66,20,road,5
41,14,21,rail,1
65,70,4,road,5
22,43,143,road,4
34,15,24,road,2
6,35,30,air,5
0,59,91,air,1
4,49,120,air,3
25,10,18,rail,1
34,64,130,air,2
25,28,122,air,1
32,24,32,road,1
32,42,68,air,5
16,43,49,rail,4
46,2,43,air,4
67,32,81,air,1
51,57,143,rail,5
35,42,13,road,5
52,11,107,road,3
2,67,27,air,3
45,68,113,air,1
5,45,89,rail,1
2,42,27,air,4
26,58,87,rail,4
45,15,60,road,2
13,65,47,road,1
61,7,84,rail,3
19,11,17,road,2
43,60,50,air,2
22,33,48,air,3
33,32,35,road,2
57,32,79,rail,2
67,9,52,road,1
10,59,13,rail,3
23,49,87,air,5
25,33,112,road,1
49,18,148,rail,2
50,38,9,air,5
20,34,73,rail,1
24,39,32,road,3
66,61,83,air,3
43,20,45,rail,3
41,55,22,air,1
52,15,16,road,1
56,70,3,air,5
6,56,25,road,2
0,22,48,road,5
27,55,90,air,5
15,2,64,rail,4
14,62,150,road,1
57,14,6,road,3
36,37,42,road,1
54,11,38,road,4
67,14,38,rail,1
6,5,63,road,5
22,2,2,rail,2
48,44,67,rail,2
12,47,145,road,2
50,29,44,air,4
36,41,91,road,5
46,0,73,air,2
69,28,117,road,1
48,24,34,road,3
28,1,104,air,3
32,6,100,rail,2
66,22,92,road,3
30,68,134,air,4
39,32,104,air,1
65,6,136,road,2
44,9,24,rail,1
56,68,87,air,4
10,58,28,rail,2
4,7,127,road,4
19,25,84,rail,4
39,52,97,air,2
49,30,74,rail,5
52,33,19,air,5
16,51,17,rail,5
57,56,31,rail,1
28,20,57,road,4
38,60,127,air,5
14,39,65,rail,2
60,22,124,air,2
30,33,78,road,5
59,26,24,air,1
41,16,103,rail,2
53,43,130,rail,4
13,11,85,road,5
2,7,83,road,2
17,28,103,air,1
64,68,74,road,3
40,31,92,road,2
32,18,46,road,2
57,33,26,road,1
16,27,119,road,3
40,30,98,air,3
37,42,96,air,5
66,49,50,road,1
30,26,88,air,2
46,27,2,rail,5
48,39,69,road,3
40,28,2,rail,5
50,61,54,air,3
68,45,95,road,2
61,28,81,air,5
27,36,57,rail,5
66,7,48,air,2
67,33,128,air,4
8,26,143,rail,4
4,6,145,air,3
16,11,40,road,5
19,10,101,rail,5
63,20,105,air,3
14,62,110,rail,2
20,29,38,air,2
29,19,57,road,2
27,15,51,rail,3
48,54,21,rail,2
54,20,1,air,5
40,57,76,road,4
9,25,31,rail,2
67,65,145,air,3
29,18,121,road,1
40,8,13,rail,5
42,4,44,rail,5
16,49,60,road,1
45,28,11,air,4
1,38,65,air,2
1,33,22,road,3
67,43,124,air,2
52,6,94,air,5
10,3,142,rail,3
57,58,36,road,1
59,27,131,air,5
37,32,11,rail,3
67,5,69,road,2
47,15,12,rail,5
25,67,82,road,5
41,40,77,air,3
20,23,74,air,5
17,67,25,air,5
26,6,19,road,5
30,50,99,rail,1
55,13,72,rail,2
26,61,96,road,4
37,33,60,rail,2
63,67,116,air,1
35,26,149,air,3
40,35,43,road,2
15,42,123,rail,3
34,50,144,road,5
69,60,115,road,2
37,14,93,road,4
20,41,145,rail,3
39,70,43,road,4
24,27,3,air,1
59,60,63,air,5
24,46,133,rail,3
46,5,67,road,3
41,3,141,rail,2
41,51,130,rail,5
4,16,93,road,3
69,43,126,road,3
56,54,1,road,3
52,7,47,road,4
50,14,79,road,3
31,61,8,road,2
65,0,52,rail,1
53,2,115,road,5
15,11,55,rail,1
13,35,70,air,2
44,69,34,rail,2
50,32,71,road,1
10,18,27,rail,1
67,28,76,road,3
2,9,60,air,3
49,70,30,road,5
44,40,117,air,2
59,30,126,air,4
2,35,121,road,2
1,0,77,rail,2
29,4,130,air,4
43,2,61,air,1
8,28,29,air,4
50,60,112,air,2
70,45,121,road,5
29,7,74,road,1
40,42,121,air,3
0,19,31,air,2
50,31,71,road,3
3,15,9,rail,4
65,14,132,air,4
6,60,55,air,2
22,47,147,rail,2
60,43,38,air,1
43,69,16,road,5
54,52,43,road,4
23,17,81,road,5
55,66,23,rail,1
29,9,106,air,3
30,58,94,air,3
7,50,1,road,3
32,63,145,rail,2
39,35,94,air,5
49,43,132,rail,5
11,38,103,rail,2
66,26,95,road,2
63,38,8,air,3
51,55,86,rail,4
43,42,71,air,5
32,69,132,road,2
38,24,104,air,4
47,31,108,road,2
10,36,19,air,4
58,54,32,road,1
62,30,126,rail,5
65,60,55,road,4
60,56,77,road,4
4,69,18,road,1
15,59,84,air,1
59,67,125,road,3
13,18,12,air,4
17,65,53,road,3
43,54,75,air,2
14,0,138,air,5
40,53,133,air,5
20,19,47,rail,5
10,32,66,rail,1
15,19,23,rail,2
52,22,58,air,2
58,49,96,rail,4
1,37,141,rail,2
2,0,56,rail,4
62,30,92,air,5
64,52,1,rail,1
68,26,134,rail,1
3,1,142,air,3
0,2,148,road,2
14,8,85,road,3
17,46,66,air,5
3,20,127,rail,3
35,15,105,rail,2
37,60,14,air,2
46,48,31,rail,5
61,22,1,air,3
3,12,69,road,1
20,47,144,road,4
38,10,13,road,2
4,31,110,air,4
22,48,52,road,5
7,3,58,road,2
35,45,35,air,5
60,63,40,air,2
16,4,108,road,1
22,17,14,rail,1
6,49,60,air,3
54,49,91,rail,1
50,62,140,road,4
49,35,30,air,4
18,35,24,air,4
8,3,70,rail,4
0,70,92,road,3
10,53,111,air,4
49,57,15,rail,3
67,30,86,road,3
2,64,5,air,3
40,6,133,road,3
60,52,102,air,2
70,65,150,air,5
50,61,98,road,5
59,6,147,rail,4
40,53,145,air,4
36,59,150,air,5
42,11,95,rail,1
6,43,52,road,2
44,61,97,rail,2
28,48,81,air,5
16,30,85,rail,1
23,29,1,air,4
54,1,92,rail,1
49,6,131,road,4
22,16,7,road,4
3,52,13,rail,3
52,61,127,rail,4
12,23,106,road,3
11,58,55,road,1
28,67,119,rail,2
67,30,71,road,3
12,0,128,rail,3
4,30,63,road,1
45,16,112,road,2
15,57,64,rail,1
26,68,29,road,4
36,5,140,road,1
48,44,51,rail,1
62,58,24,road,3
32,25,60,air,2
45,53,121,air,2
69,58,17,rail,1
15,38,142,road,5
49,41,117,rail,5
50,10,1,road,2
38,10,114,rail,4
12,70,66,air,5
32,1,135,air,4
9,56,101,air,3
61,0,122,rail,3
5,47,32,air,5
16,25,62,air,5
6,60,3,air,1
55,59,79,road,4
69,68,78,air,5
69,10,45,rail,2
34,64,115,rail,4
25,29,149,rail,1
62,36,34,road,5
2,49,78,rail,2
62,27,30,air,4
5,14,77,air,4
19,34,22,road,3
30,58,17,rail,5
8,30,102,air,2
42,11,124,rail,2
22,44,123,road,2
61,18,45,rail,1
46,68,85,road,3
9,8,121,road,1
24,14,98,road,1
61,5,118,air,5
29,45,83,air,4
6,60,26,air,1
24,17,117,road,4
66,54,118,road,3
1,69,110,rail,1
27,62,111,road,2
69,49,149,air,1
48,40,113,air,3
51,12,130,road,4
49,28,3,air,1
25,6,82,road,1
69,59,134,air,1
14,15,1,rail,1
69,15,127,road,1
3,33,108,road,5
69,10,79,air,4
67,23,18,rail,1
15,70,116,rail,1
31,59,130,air,4
55,12,115,road,2
65,43,112,air,4
0,25,56,air,1
13,14,67,rail,1
38,13,2,air,5
27,18,26,air,5
56,30,145,road,5
43,18,112,road,4
13,60,74,air,2
27,18,144,rail,1
44,30,123,air,3
9,8,130,road,1
54,68,98,road,3
2,12,63,air,3
9,24,69,air,5
28,15,94,road,1
12,2,126,road,2
42,36,108,air,1
2,31,121,rail,1
60,36,50,rail,2
62,14,19,air,5
7,41,127,road,4
66,25,34,rail,1
60,64,140,road,5
10,43,107,road,3
34,23,20,air,2
70,63,33,air,4
64,59,124,rail,2
24,46,108,rail,4
55,34,97,rail,5
45,10,45,road,3
65,27,98,road,1
9,33,82,air,1
17,42,68,rail,2
2,62,92,road,4
33,52,59,rail,3
36,44,127,rail,2
32,31,70,air,3
65,57,125,road,4
46,14,41,air,4
0,36,108,road,2
34,11,134,road,4
13,57,47,rail,5
49,50,90,rail,4
34,27,74,road,5
27,4,10,air,5
32,42,78,road,2
6,1,150,road,3
21,55,52,road,3
64,50,97,road,2
8,16,39,rail,2
2,70,81,rail,1
12,52,124,rail,4
53,52,136,rail,2
1,60,24,rail,4
1,54,149,air,4
26,10,24,air,1
15,61,104,air,4
1,52,45,road,4
1,7,79,air,5
45,63,90,rail,2
54,18,47,road,3
0,23,119,rail,3
45,38,40,rail,3
56,40,99,road,2
44,11,148,road,5
15,40,41,road,5
